URL,has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,Phishing
http://acesso.gov.pt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://loigiaihay.com,1,1,1,0,0,1,0,0,1,0,0,2,1,0,0,920,0,0,19,5,39,75,0,1,1,24456,0,950,221,123,0,0,1,0,1,1,18,1,0,0,0,208,0,0,0,0,0,0,0,0,0,0
http://bongdaplus.vn,1,1,1,0,0,1,0,0,0,0,0,2,2,0,0,367,0,0,4,20,19,86,1,1,1,17996,0,634,56,668,0,1,1,0,1,1,8,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
http://tiwar.ru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,58,1,0,0,503,0,4,5,17,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
http://uzh.ch,1,0,1,0,0,1,0,0,0,0,1,0,31,0,0,63,0,0,11,3,7,45,1,1,1,9813,24,91,25,301,0,1,0,0,0,0,11,1,0,0,0,140,0,0,0,0,0,0,0,0,0,0
http://semana.es,1,1,0,0,0,1,0,0,1,0,0,5,0,0,0,43,0,0,19,23,29,60,1,1,1,8997,0,393,163,364,65,1,1,0,1,1,24,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0
http://elempleo.com,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,7,2,6,56,1,1,0,400,0,2,5,24,0,0,0,0,1,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
http://bundesregierung.de,1,1,1,0,0,1,0,0,1,0,0,4,51,0,0,316,0,0,7,37,10,45,1,1,1,27086,48,318,44,565,0,1,1,0,0,0,13,1,0,1,126,705,0,0,0,0,0,0,0,0,0,0
http://teenee.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,263,0,0,19,253,21,47,1,1,1,22417,0,872,324,1184,0,0,0,0,0,0,34,1,1,0,0,53,0,0,0,0,0,0,0,0,0,0
http://intsig.net,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,6,16,16,48,0,0,0,3328,0,94,1,282,0,0,0,0,0,0,4,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0
http://geogebra.org,1,1,1,0,0,1,0,0,0,0,1,2,11,0,0,0,0,0,43,82,28,95,1,1,0,5737,9,67,23,262,5,1,1,0,0,1,23,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0
http://evraz.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://ayobandung.com,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,77,0,0,16,2,37,11,1,1,1,9499,0,250,56,347,0,1,1,0,1,1,43,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0
http://21cineplex.com,1,1,0,0,0,1,0,0,0,0,0,1,0,0,62,16,0,0,6,1,17,68,0,0,1,2040,0,50,50,123,0,1,1,0,0,1,19,1,0,0,0,19,0,0,0,0,0,0,0,1,0,0
http://haveibeenpwned.com,1,1,1,0,1,1,0,1,1,0,0,4,4,0,0,21,0,20,5,24,10,76,0,1,1,3756,3,75,29,89,0,1,1,0,0,0,8,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0
http://dandomain.dk,1,1,1,0,0,1,0,0,0,0,0,4,10,0,0,64,0,0,4,9,10,44,1,1,1,4518,0,102,26,229,0,0,1,0,1,1,4,1,0,0,0,174,0,0,0,0,0,0,0,0,0,0
http://bigfishgames.com,1,1,1,0,0,1,0,0,1,0,0,3,2,0,0,90,0,0,19,0,23,74,0,1,1,6761,0,188,63,431,0,1,1,0,0,1,26,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0
http://utwente.nl,1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,8,0,0,10,17,3,35,0,1,0,10501,1,185,3,416,0,1,1,0,1,1,13,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0
http://arabxn.com,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,19,0,0,1,1,8,44,1,1,0,3476,0,99,40,351,0,1,0,0,0,1,13,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0
http://gobankingrates.com,1,1,1,0,0,1,0,1,1,0,0,9,4,0,0,16,0,0,31,474,63,94,0,1,1,21845,0,429,202,941,175,1,1,0,1,0,41,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0
http://1und1.de,1,1,1,0,0,1,1,0,1,0,0,4,6,0,0,351,0,0,42,37,75,47,0,1,1,28700,0,485,109,743,0,1,1,0,0,1,30,1,0,1,149,358,0,0,0,0,0,0,0,0,0,0
http://aov-news.com,1,1,1,0,1,1,0,0,0,0,0,3,1,0,0,54,0,0,19,13,15,40,1,1,1,12624,0,190,37,293,37,1,1,0,0,0,5,1,0,0,0,97,0,0,0,0,0,0,0,0,1,0
http://bjjinwangame.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,123,0,1,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://c5n.com,1,1,1,0,0,1,0,0,0,0,0,7,1,0,0,53,0,0,30,10,26,52,1,1,1,14416,0,177,116,367,65,1,0,0,1,0,30,1,0,1,0,78,0,0,0,0,0,0,0,0,0,0
http://sexarabsx.com,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,31,0,0,5,1,6,40,1,1,0,5413,0,53,31,271,0,0,1,0,0,1,10,1,0,0,0,45,0,0,0,0,0,0,0,1,0,0
http://cgstate.gov.in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://resultados-futbol.com,1,1,0,0,1,1,1,0,1,0,0,46,0,0,7,312,1,102,15,91,38,21,1,1,1,32066,0,1038,497,821,6,1,1,1,1,1,24,0,0,0,0,450,39,0,0,0,0,0,0,0,1,0
http://purelovers.com,1,1,1,0,0,1,0,0,0,0,1,1,5,0,0,521,0,0,15,56,10,23,1,1,1,52568,1,536,23,324,0,1,1,0,0,0,13,0,0,0,6,345,0,0,0,0,0,0,0,0,0,0
http://qualaroo.com,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,180,0,0,5,49,13,52,1,1,0,18917,0,159,54,328,0,1,0,0,1,0,17,1,0,0,10,118,0,0,0,0,0,0,0,0,0,0
http://superuser.com,1,1,1,0,0,1,0,0,0,0,0,2,4,0,0,139,0,0,8,8,20,10,1,0,1,8795,2,217,16,278,0,1,1,0,0,1,10,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0
http://dexerto.com,1,1,1,0,0,1,0,0,0,0,0,2,11,0,0,25,0,0,18,0,76,73,0,1,1,6435,4,272,57,408,0,1,1,0,1,0,26,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0
http://todorelatos.com,1,1,0,0,1,1,1,0,1,0,0,8,0,0,0,0,0,66,6,1,5,30,0,0,0,3137,0,124,93,24,0,0,1,0,0,1,7,0,0,0,0,39,42,0,0,0,0,0,0,0,0,0
http://sportinglife.com,1,0,1,0,0,1,0,0,0,0,0,0,11,0,0,14,0,0,25,1,28,68,1,1,1,3580,0,103,61,266,0,0,0,0,0,0,5,1,0,0,0,101,0,0,0,0,0,0,0,0,0,0
http://ensedeciencia.com,1,1,1,0,1,1,0,1,1,0,0,12,2,0,0,48,7,6,24,10,39,19,0,1,1,11959,0,338,46,300,0,1,1,1,0,1,17,1,0,0,0,108,1,0,0,0,0,0,0,0,0,0
http://mp3juice.blog,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,30,0,0,4,68,7,52,1,1,1,20630,0,28,1,11,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://atomex.net,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://nutanix.com,1,1,1,0,1,1,0,0,0,0,0,2,2,0,0,233,0,0,71,49,11,56,1,1,1,8627,0,272,19,276,0,1,1,0,0,1,22,1,0,0,0,43,0,0,0,0,0,0,0,1,0,0
http://hdpornfree.xxx,1,1,1,0,0,1,0,0,1,0,0,2,1,0,0,394,0,0,34,2,6,67,1,1,1,6811,0,496,121,254,0,1,1,0,0,1,6,1,0,0,0,121,0,0,0,0,0,0,0,0,0,0
http://flashscore.es,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,55,62,1,1,0,8985,0,381,12,514,0,1,0,0,1,0,16,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0
http://fdating.com,1,1,1,0,1,1,1,0,1,0,0,7,1,0,401,53,0,3,4,4,10,34,1,1,1,5186,0,107,48,96,0,0,1,0,0,1,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
http://linksys.com,1,1,1,0,0,1,1,1,1,0,0,20,42,0,0,179,0,0,38,17,31,39,1,1,1,13598,24,209,19,445,3,1,1,0,1,1,8,1,0,1,17,49,0,0,0,0,0,0,0,0,0,0
http://jin115.com,1,1,0,0,1,1,0,0,1,0,0,18,0,0,287,57,0,0,17,0,156,10,1,1,0,10987,0,414,183,648,0,1,1,0,1,1,16,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0
http://ngrok.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,28,0,13,60,1,1,0,7109,0,104,66,434,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
